고객ID,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,평균주간통화시간,평균야간통화시간,평균주말통화시간,국내통화횟수,국내통화시간_분,평균국내통화시간,총통화시간_분,이탈여부
K100350,24,61.909062,13,13.169252,0,0,0.961286,0,2.579544,1.013019,0,37,75.078314,2.029144,76.0396,이탈
K100360,31,51.384907,20,17.48303,0,0,18.779372,0,1.657578,0.874151,0,51,68.867937,1.350352,87.647309,이탈
K100370,37,91.2,10,48.599999,3,7.8,1.96812,0,2.464865,4.86,2.6,50,147.599999,2.952,149.568119,이탈
K100380,14,66,20,36,4,24.6,14.229011,0,4.714286,1.8,6.15,38,126.6,3.331579,140.829011,이탈
K100390,9,55.8,8,18,10,19.2,5.621558,0,6.2,2.25,1.92,27,93,3.444444,98.621558,이탈
K100400,14,86.4,13,47.7,1,5.4,33.191192,0,6.171429,3.669231,5.4,28,139.5,4.982143,172.691192,이탈
K100410,14,86.4,13,47.700001,1,5.4,33.191225,0,6.171429,3.669231,5.4,28,139.500001,4.982143,172.691226,이탈
K100420,7,43.2,0,0,3,6,16.217836,0,6.171429,0,2,10,49.2,4.92,65.417836,이탈
K100430,7,67.200001,21,40.799999,0,0,6.146157,0,9.6,1.942857,0,28,108,3.857143,114.146157,이탈
K100440,7,67.199999,21,40.800001,0,0,6.146151,0,9.6,1.942857,0,28,108,3.857143,114.146151,이탈
K100450,13,58.631372,8,9.089143,14,11.308088,5.061164,0,4.510106,1.136143,0.807721,35,79.028603,2.25796,84.089767,이탈
K100460,6,42.194443,10,18.565556,8,13.462037,0.121095,0,7.032407,1.856556,1.682755,24,74.222036,3.092585,74.343131,이탈
K100470,13,60,2,41.1,2,3.6,23.908486,0,4.615385,20.55,1.8,17,104.7,6.158824,128.608486,이탈
K100480,7,62.400001,10,23.7,6,14.400001,3.784419,0,8.914286,2.37,2.4,23,100.500002,4.369565,104.284421,이탈
K100490,8,58.110235,23,22.618858,13,17.163359,31.084968,0,7.263779,0.983429,1.320258,44,97.892452,2.224828,128.97742,이탈
K100500,24,73.173937,13,15.565508,0,0,1.136201,0,3.048914,1.197347,0,37,88.739445,2.398363,89.875646,유지
K100510,9,66.364327,10,15.279227,4,11.832399,3.486031,0,7.373814,1.527923,2.9581,23,93.475953,4.064172,96.961984,이탈
K100520,21,75,13,30.900001,1,2,11.656725,0,3.571429,2.376923,2,35,107.900001,3.082857,119.556726,이탈
K100530,11,32.80641,19,24.285266,3,2.130286,0.335792,0,2.982401,1.278172,0.710095,33,59.221962,1.794605,59.557754,이탈
K100540,4,106.8,9,27.3,23,37.800001,10.363105,0,26.7,3.033333,1.643478,36,171.900001,4.775,182.263106,이탈
K100550,21,75,13,30.900001,1,2,11.656737,0,3.571429,2.376923,2,35,107.900001,3.082857,119.556738,이탈
K100560,21,75,13,30.9,1,2,11.656748,0,3.571429,2.376923,2,35,107.9,3.082857,119.556748,이탈
K100570,2,58.222163,24,21.678464,15,13.626464,6.790312,0,29.111082,0.903269,0.908431,41,93.527091,2.281149,100.317403,이탈
K100580,16,70.2,5,33.600001,1,29.4,4.137097,0,4.3875,6.72,29.4,22,133.200001,6.054545,137.337098,이탈
K100590,7,62.4,10,23.7,6,14.4,3.784414,0,8.914286,2.37,2.4,23,100.5,4.369565,104.284414,이탈
K100600,10,46.685767,4,3.203925,19,22.198623,22.647881,0,4.668577,0.800981,1.168349,33,72.088315,2.184494,94.736196,이탈
K100610,1,35.789695,6,17.79259,1,1.227075,6.858488,0,35.789695,2.965432,1.227075,8,54.80936,6.85117,61.667848,이탈
K100620,14,66,20,36,4,24.6,14.229012,0,4.714286,1.8,6.15,38,126.6,3.331579,140.829012,이탈
K100630,4,84.6,14,24,4,18,38.943709,0,21.15,1.714286,4.5,22,126.6,5.754545,165.543709,이탈
K100640,4,45.367242,9,11.596682,23,16.056945,4.402116,0,11.34181,1.28852,0.698128,36,73.020869,2.028357,77.422985,이탈
K100650,20,78,22,35.7,11,21.599999,23.427541,0,3.9,1.622727,1.963636,53,135.299999,2.55283,158.72754,이탈
K100660,13,144.6,3,15.3,2,15.6,9.855467,0,11.123077,5.1,7.8,18,175.5,9.75,185.355467,이탈
K100670,7,35.647125,28,20.832735,12,12.731117,20.252243,0,5.092446,0.744026,1.060926,47,69.210977,1.472574,89.46322,이탈
K100680,10,49.226512,4,3.378291,19,23.406725,23.880382,0,4.922651,0.844573,1.231933,33,76.011528,2.30338,99.89191,이탈
K100690,5,76.200001,10,42.3,3,14.5,37.780696,0,15.24,4.23,4.833333,18,133.000001,7.388889,170.780697,이탈
K100700,8,103.2,4,52.5,4,15,9.388212,0,12.9,13.125,3.75,16,170.7,10.66875,180.088212,이탈
K100710,21,69.6,13,24.3,1,33,13.05501,0,3.314286,1.869231,33,35,126.9,3.625714,139.95501,이탈
K100720,13,144.599999,3,15.3,2,15.6,9.855476,0,11.123077,5.1,7.8,18,175.499999,9.75,185.355475,이탈
K100730,20,78,22,35.699999,11,21.600001,23.427542,0,3.9,1.622727,1.963636,53,135.3,2.55283,158.727542,이탈
K100740,1,115.8,7,18.6,5,16.500002,48.996053,0,115.8,2.657143,3.3,13,150.900002,11.607692,199.896055,유지
K100750,2,111.6,5,32.700001,0,0,15.707928,0,55.8,6.54,0,7,144.300001,20.614286,160.007929,이탈
K100760,1,69,11,53.7,3,5.4,40.001118,0,69,4.881818,1.8,15,128.1,8.54,168.101118,이탈
K100770,24,37.799999,41,66.6,0,0,18.361616,0,1.575,1.62439,0,65,104.399999,1.606154,122.761615,이탈
K100780,16,36.6,0,0,3,21.5,20.558491,0,2.2875,0,7.166667,19,58.1,3.057895,78.658491,이탈
K100790,17,24.058831,38,36.965391,0,0,2.586858,0,1.415225,0.972773,0,55,61.024222,1.109531,63.61108,이탈
K100800,52,37.351351,12,11.158422,44,27.015126,15.862735,0,0.718295,0.929868,0.61398,108,75.524899,0.699305,91.387634,이탈
K100810,22,30.350764,23,58.139449,24,31.204791,4.32519,0,1.37958,2.527802,1.3002,69,119.695004,1.73471,124.020194,이탈
K100820,16,39.117906,26,26.845623,35,50.623173,0.23718,0,2.444869,1.032524,1.446376,77,116.586702,1.514113,116.823882,이탈
K100830,17,23.082207,63,51.170193,16,12.792548,17.648479,0,1.357777,0.812225,0.799534,96,87.044948,0.906718,104.693427,이탈
K100840,25,18.035407,11,26.806052,9,19.558946,8.033346,0,0.721416,2.436914,2.173216,45,64.400405,1.43112,72.433751,이탈
K100850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이탈
K100860,23,61.2,15,42.3,5,54,51.058127,0,2.66087,2.82,10.8,43,157.5,3.662791,208.558127,이탈
K100870,25,21.803828,20,13.082297,2,24.572568,7.9834,0,0.872153,0.654115,12.286284,47,59.458693,1.265079,67.442093,이탈
K100880,22,65.400001,5,81,13,20.400001,25.223111,0,2.972727,16.2,1.569231,40,166.800002,4.17,192.023113,이탈
K100890,28,66.6,23,61.799999,7,20.4,40.167962,0,2.378571,2.686956,2.914286,58,148.799999,2.565517,188.967961,이탈
K100900,20,23.89136,49,66.712028,5,18.990567,28.589986,0,1.194568,1.36147,3.798113,74,109.593955,1.480999,138.183941,이탈
K100910,46,58.028474,13,26.341873,10,31.686601,37.514514,0,1.261489,2.026298,3.16866,69,116.056948,1.681985,153.571462,이탈
K100920,18,16.254815,29,28.933572,10,18.422125,8.300631,0,0.903045,0.997709,1.842213,57,63.610512,1.115974,71.911143,이탈
K100930,44,53.65287,19,26.826434,44,47.02906,20.84692,0,1.219383,1.411918,1.068842,107,127.508364,1.191667,148.355284,이탈
K100940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이탈
K100950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이탈
K100960,31,38.005697,0,0,35,49.444306,19.03897,0,1.22599,0,1.412694,66,87.450003,1.325,106.488973,이탈
K100970,33,36.29146,25,23.108664,0,0,17.572165,0,1.099741,0.924347,0,58,59.400124,1.02414,76.972289,이탈
K100980,0,0,71,125.1,1,4.2,30.801142,0,0,1.761972,4.2,72,129.3,1.795833,160.101142,이탈
K100990,23,27.391835,19,57.677173,8,27.970535,19.673268,0,1.190949,3.035641,3.496317,50,113.039543,2.260791,132.712811,이탈
K101000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이탈
K101010,31,72,4,10.8,46,75.600001,9.600287,0,2.322581,2.7,1.643478,81,158.400001,1.955556,168.000288,유지
K101020,52,48.509804,12,14.491923,44,35.085708,20.601594,0,0.932881,1.20766,0.797402,108,98.087435,0.908217,118.689029,이탈
K101030,30,48,18,54,0,0,9.754135,0,1.6,3,0,48,102,2.125,111.754135,이탈
K101040,12,21.405975,48,43.869038,25,18.763264,17.759988,0,1.783831,0.913938,0.750531,85,84.038277,0.988686,101.798265,이탈
K101050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이탈
K101060,9,9.701091,74,73.697,2,4.694076,14.951741,0,1.077899,0.995905,2.347038,85,88.092167,1.036378,103.043908,이탈
K101070,30,30.086195,2,39.61349,4,3.008619,0.569695,0,1.002873,19.806745,0.752155,36,72.708304,2.019675,73.277999,이탈
K101080,0,0,53,84.6,28,45.5,22.02249,0,0,1.596226,1.625,81,130.1,1.606173,152.12249,이탈
K101090,46,75.599999,21,59.400001,11,34.2,52.143364,0,1.643478,2.828571,3.109091,78,169.2,2.169231,221.343364,이탈
K101100,19,36.600001,9,75,0,0,18.717372,0,1.926316,8.333333,0,28,111.600001,3.985714,130.317373,이탈
K101110,10,23.201527,12,36.477954,3,12.631942,8.300664,0,2.320153,3.039829,4.210647,25,72.311423,2.892457,80.612087,이탈
K101120,7,22.2,46,78.599999,9,20,32.535263,0,3.171429,1.708696,2.222222,62,120.799999,1.948387,153.335262,이탈
K101130,25,73.2,9,33,0,0,31.124048,0,2.928,3.666667,0,34,106.2,3.123529,137.324048,이탈
K101140,0,0,1,1.585148,0,0,9.925912,0,0,1.585148,0,1,1.585148,1.585148,11.51106,이탈
K101150,26,29.30906,39,60.030606,4,14.831091,16.064032,0,1.127272,1.539246,3.707773,69,104.170757,1.509721,120.234789,이탈
K101160,34,24.998623,20,25.219849,4,8.627842,18.502476,0,0.735254,1.260992,2.156961,58,58.846314,1.014592,77.34879,이탈
K101170,27,41.4,19,33.899999,16,71.4,32.185848,0,1.533333,1.78421,4.4625,62,146.699999,2.366129,178.885847,이탈
K101180,29,46.8,17,47.4,3,30,14.555928,0,1.613793,2.788235,10,49,124.2,2.534694,138.755928,이탈
K101190,10,20.51964,29,32.688262,4,11.532355,15.226313,0,2.051964,1.127181,2.883089,43,64.740257,1.505587,79.96657,이탈
K101200,19,23.195438,18,30.888973,9,13.320152,11.091543,0,1.220813,1.716054,1.480017,46,67.404563,1.465317,78.496106,이탈
K101210,16,36.6,0,0,3,21.5,20.558491,0,2.2875,0,7.166667,19,58.1,3.057895,78.658491,이탈
K101220,14,39,7,60.599999,4,47.4,33.218434,0,2.785714,8.657143,11.85,25,146.999999,5.88,180.218433,이탈
K101230,54,48.209829,21,42.101051,9,10.45647,1.000631,0,0.892775,2.004812,1.16183,84,100.76735,1.199611,101.767981,이탈
K101240,25,61.2,11,32.700001,18,31,25.137501,0,2.448,2.972727,1.722222,54,124.900001,2.312963,150.037502,이탈
K101250,25,16.698058,37,32.102604,23,15.757323,10.146549,0,0.667922,0.867638,0.685101,85,64.557985,0.759506,74.704534,이탈
K101260,19,53.400001,44,95.100001,7,21,13.321839,0,2.810526,2.161364,3,70,169.500002,2.421429,182.821841,이탈
K101270,2,4.8,15,149.4,0,0,21.194713,0,2.4,9.96,0,17,154.2,9.070588,175.394713,이탈
K101280,27,46.2,7,50.399999,14,23.499999,22.978843,0,1.711111,7.2,1.678571,48,120.099998,2.502083,143.078841,이탈
K101290,23,61.199999,15,42.3,5,54,51.058177,0,2.66087,2.82,10.8,43,157.499999,3.662791,208.558176,이탈
K101300,25,33.024909,20,19.814945,2,37.218548,12.091963,0,1.320996,0.990747,18.609274,47,90.058402,1.916136,102.150365,이탈
K101310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,이탈
K101320,0,0,14,38.288622,9,16.45739,8.769282,0,0,2.734902,1.828599,23,54.746012,2.380261,63.515294,이탈
K101330,21,23.428029,14,19.236777,13,19.70247,13.308957,0,1.11562,1.374056,1.515575,48,62.367276,1.299318,75.676233,이탈
K101340,3,3.304715,94,79.763802,8,7.811144,6.823262,0,1.101572,0.848551,0.976393,105,90.879661,0.865521,97.702923,이탈
K101350,47,35.929578,25,18.481762,29,20.420409,10.127406,0,0.764459,0.73927,0.704152,101,74.831749,0.740908,84.959155,이탈
K101360,46,75.6,21,59.4,11,34.2,52.143365,0,1.643478,2.828571,3.109091,78,169.2,2.169231,221.343365,이탈
K101370,0,0,26,41.699999,13,46.8,10.352444,0,0,1.603846,3.6,39,88.499999,2.269231,98.852443,이탈
K101380,27,41.4,19,33.899999,16,71.4,32.185846,0,1.533333,1.78421,4.4625,62,146.699999,2.366129,178.885845,이탈
K101390,27,60.599999,42,65.400001,4,12,9.902417,0,2.244444,1.557143,3,73,138,1.890411,147.902417,이탈
K101400,21,42.580994,21,36.65668,23,34.249929,0.832065,0,2.027666,1.745556,1.489127,65,113.487603,1.745963,114.319668,이탈
K101410,25,73.2,9,33,0,0,31.12408,0,2.928,3.666667,0,34,106.2,3.123529,137.32408,이탈
K101420,22,37.8,8,64.5,10,21.6,18.835696,0,1.718182,8.0625,2.16,40,123.9,3.0975,142.735696,이탈
K101430,11,16.799999,37,68.7,0,0,10.977046,0,1.527273,1.856757,0,48,85.499999,1.78125,96.477045,이탈
K101440,6,16.2,51,111.3,1,24.5,8.9583,0,2.7,2.182353,24.5,58,152,2.62069,160.9583,이탈
K101450,23,61.200001,15,42.3,5,54,51.058228,0,2.66087,2.82,10.8,43,157.500001,3.662791,208.558229,이탈
K101460,28,72,6,22.5,35,70,42.033766,0,2.571429,3.75,2,69,164.5,2.384058,206.533766,이탈
K101470,17,43.799999,23,45.6,10,27,36.104995,0,2.576471,1.982609,2.7,50,116.399999,2.328,152.504994,이탈
K101480,48,76.8,8,59.4,5,19.5,5.805,0,1.6,7.425,3.9,61,155.7,2.552459,161.505,이탈
K101490,25,14.743988,11,21.91401,9,15.989485,6.567289,0,0.58976,1.992183,1.776609,45,52.647483,1.169944,59.214772,이탈
K101500,17,42,5,64.8,0,0,18.772276,0,2.470588,12.96,0,22,106.8,4.854545,125.572276,이탈
K101510,28,47.715314,36,39.597083,9,16.23646,10.894672,0,1.704118,1.099919,1.804051,73,103.548857,1.418477,114.443529,이탈
K101520,28,46.800001,39,69.900001,24,36.6,30.348459,0,1.671429,1.792308,1.525,91,153.300002,1.684615,183.648461,이탈
K101530,47,38.470452,25,19.788758,29,21.864502,10.843587,0,0.81852,0.79155,0.753948,101,80.123712,0.793304,90.967299,이탈
K101540,22,37.8,15,120.900001,7,13,20.261166,0,1.718182,8.06,1.857143,44,171.700001,3.902273,191.961167,이탈
K101550,11,16.907183,2,8.673166,44,38.205843,11.448156,0,1.537017,4.336583,0.868315,57,63.786192,1.119056,75.234348,이탈
K101560,0,0,71,125.100001,1,4.2,30.801141,0,0,1.761972,4.2,72,129.300001,1.795833,160.101142,이탈
K101570,0,0,9,28.200001,5,24,12.054712,0,0,3.133333,4.8,14,52.200001,3.728572,64.254713,이탈
K101580,34,64.800001,14,44.7,1,56.5,37.600542,0,1.905882,3.192857,56.5,49,166.000001,3.387755,203.600543,이탈
K101590,7,22.200001,46,78.6,9,20,32.53523,0,3.171429,1.708696,2.222222,62,120.800001,1.948387,153.335231,이탈
K101600,26,49.800001,39,102,4,25.2,27.294959,0,1.915385,2.615385,6.3,69,177.000001,2.565217,204.29496,이탈
K101610,41,83.4,34,66,12,27.6,23.465918,0,2.034146,1.941176,2.3,87,177,2.034483,200.465918,이탈
K101620,0,0,14,68.400001,9,29.400001,15.665723,0,0,4.885714,3.266667,23,97.800002,4.252174,113.465725,이탈
K101630,19,53.400002,44,95.1,7,21,13.321813,0,2.810526,2.161364,3,70,169.500002,2.421429,182.821815,이탈
K101640,14,44.399999,37,75.600001,5,21.600001,13.637498,0,3.171428,2.043243,4.32,56,141.600001,2.528571,155.237499,이탈
K101650,14,44.4,37,75.6,5,21.6,13.63751,0,3.171429,2.043243,4.32,56,141.6,2.528571,155.23751,이탈
K101660,6,40.199999,25,57,9,22.800001,12.834633,0,6.7,2.28,2.533333,40,120,3,132.834633,이탈
K101670,4,38.4,17,45.899999,24,54,20.72814,0,9.6,2.7,2.25,45,138.299999,3.073333,159.028139,이탈
K101680,13,42.600001,40,64.500001,9,16.200001,34.98677,0,3.276923,1.6125,1.8,62,123.300003,1.98871,158.286773,이탈
K101690,1,36.931072,10,48.495346,3,25.366797,27.292723,0,36.931072,4.849535,8.455599,14,110.793215,7.913801,138.085938,이탈
K101700,8,36,5,28.5,0,0,14.263206,0,4.5,5.7,0,13,64.5,4.961538,78.763206,이탈
K101710,4,41.4,12,63,5,15,4.093277,0,10.35,5.25,3,21,119.4,5.685714,123.493277,이탈
K101720,1,39.35976,38,70.885782,3,4.139781,36.709253,0,39.35976,1.865415,1.379927,42,114.385323,2.72346,151.094576,이탈
K101730,5,40.340488,40,47.531619,22,21.631856,13.414779,0,8.068098,1.18829,0.983266,67,109.503963,1.634388,122.918742,이탈
K101740,3,20.4,3,11.7,36,56.400001,20.43737,0,6.8,3.9,1.566667,42,88.500001,2.107143,108.937371,이탈
K101750,9,40.800001,19,86.099999,1,3,35.606319,0,4.533333,4.531579,3,29,129.9,4.47931,165.506319,이탈
K101760,17,59.4,36,67.800001,2,4.2,31.862176,0,3.494118,1.883333,2.1,55,131.400001,2.389091,163.262177,이탈
K101770,2,67.8,6,30.6,8,75,42.715277,0,33.9,5.1,9.375,16,173.4,10.8375,216.115277,이탈
K101780,10,52.200001,48,90.300001,12,19.5,19.299243,0,5.22,1.88125,1.625,70,162.000002,2.314286,181.299245,이탈
K101790,15,63.600002,27,47.100001,28,49.8,37.623664,0,4.24,1.744444,1.778571,70,160.500003,2.292857,198.123667,이탈
K101800,7,25.008754,24,39.726294,2,2.950885,1.413106,0,3.572679,1.655262,1.475443,33,67.685933,2.051089,69.099039,이탈
K101810,4,38.4,17,45.899999,24,54,20.72818,0,9.6,2.7,2.25,45,138.299999,3.073333,159.028179,이탈
K101820,7,49.8,1,13.5,27,51,33.562277,0,7.114286,13.5,1.888889,35,114.3,3.265714,147.862277,이탈
K101830,9,36,38,88.199999,0,0,0.823555,0,4,2.321053,0,47,124.199999,2.642553,125.023554,이탈
K101840,3,16.8,4,80.1,13,78,26.403965,0,5.6,20.025,6,20,174.9,8.745,201.303965,이탈
K101850,11,46.200001,2,23.7,44,104.4,31.282847,0,4.2,11.85,2.372727,57,174.300001,3.057895,205.582848,이탈
K101860,6,19.931201,22,18.216687,1,22.931596,19.993218,0,3.321867,0.828031,22.931596,29,61.079484,2.106189,81.072702,이탈
K101870,1,7.2,24,59.700001,22,84.600001,47.927578,0,7.2,2.4875,3.845455,47,151.500002,3.223404,199.42758,유지
K101880,6,21.049934,8,19.295774,16,36.545024,12.61458,0,3.508322,2.411972,2.284064,30,76.890732,2.563024,89.505312,이탈
K101890,9,57.6,12,22.2,6,44.4,3.802528,0,6.4,1.85,7.4,27,124.2,4.6,128.002528,이탈
K101900,13,72,57,94.2,1,2.4,49.462464,0,5.538462,1.652632,2.4,71,168.6,2.374648,218.062464,이탈
K101910,21,68.4,2,46.5,15,34,4.317313,0,3.257143,23.25,2.266667,38,148.9,3.918421,153.217313,이탈
K101920,13,52.2,9,79.500001,3,8.4,10.539877,0,4.015385,8.833333,2.8,25,140.100001,5.604,150.639878,이탈
K101930,10,51.6,29,82.2,4,29,38.289029,0,5.16,2.834483,7.25,43,162.8,3.786047,201.089029,이탈
K101940,4,21.324944,8,22.024122,22,69.56826,13.207472,0,5.331236,2.753015,3.162194,34,112.917326,3.321098,126.124798,이탈
K101950,2,43.2,21,61.5,3,12.6,26.467945,0,21.6,2.928571,4.2,26,117.3,4.511538,143.767945,이탈
K101960,1,27.6,66,129,7,14.399999,23.843275,0,27.6,1.954545,2.057143,74,170.999999,2.310811,194.843274,이탈
K101970,3,45,38,67.2,12,46.8,50.132043,0,15,1.768421,3.9,53,159,3,209.132043,이탈
K101980,2,42.202895,6,19.047325,8,46.684618,26.588593,0,21.101447,3.174554,5.835577,16,107.934838,6.745927,134.523431,이탈
K101990,1,30.685645,10,40.294282,3,21.077009,22.677241,0,30.685645,4.029428,7.02567,14,92.056936,6.575495,114.734177,이탈
K102000,3,41.4,1,33.9,5,21.6,16.886808,0,13.8,33.9,4.32,9,96.9,10.766667,113.786808,이탈
K102010,17,57,35,55.500002,23,61.799999,19.340952,0,3.352941,1.585714,2.686956,75,174.300001,2.324,193.640953,이탈
K102020,13,52.2,9,79.499999,3,8.4,10.539888,0,4.015385,8.833333,2.8,25,140.099999,5.604,150.639887,이탈
K102030,6,18.973188,22,17.341085,1,21.829366,19.032243,0,3.162198,0.788231,21.829366,29,58.143639,2.004953,77.175882,이탈
K102040,11,49.2,29,70.5,14,22.8,38.818909,0,4.472727,2.431034,1.628571,54,142.5,2.638889,181.318909,이탈
K102050,6,70.799999,28,53.7,2,20.4,43.220195,0,11.8,1.917857,10.2,36,144.899999,4.025,188.120194,이탈
K102060,73,43.812908,31,18.53623,1,2.10639,18.13109,0,0.600177,0.597943,2.10639,105,64.455528,0.613862,82.586618,이탈
K102070,32,75.599999,8,38.400001,5,13.2,3.328153,0,2.3625,4.8,2.64,45,127.2,2.826667,130.528153,이탈
K102080,24,55.516311,19,33.94628,0,0,1.458993,0,2.31318,1.786646,0,43,89.462591,2.080525,90.921584,이탈
K102090,56,49.012041,1,14.866986,15,21.565298,19.364259,0,0.875215,14.866986,1.437687,72,85.444325,1.186727,104.808584,이탈
K102100,58,46.991725,4,29.931034,3,7.183448,12.254167,0,0.810202,7.482759,2.394483,65,84.106207,1.293942,96.360374,이탈
K102110,50,84.599999,15,27.9,21,42,12.531913,0,1.692,1.86,2,86,154.499999,1.796512,167.031912,이탈
K102120,15,33.607177,17,19.380827,6,10.721309,6.000462,0,2.240478,1.140049,1.786885,38,63.709313,1.676561,69.709775,이탈
K102130,44,62.055717,2,21.739264,25,28.063413,2.764525,0,1.410357,10.869632,1.122537,71,111.858394,1.57547,114.622919,이탈
K102140,31,41.877136,20,14.248137,0,0,15.304632,0,1.350875,0.712407,0,51,56.125273,1.100496,71.429905,이탈
K102150,71,37.371477,25,20.139074,0,0,6.971412,0,0.526359,0.805563,0,96,57.510551,0.599068,64.481963,이탈
K102160,58,40.611416,36,21.160684,7,4.274887,14.949614,0,0.700197,0.587797,0.610698,101,66.046987,0.653931,80.996601,이탈
K102170,65,112.199999,0,0,1,2.4,12.92706,0,1.726154,0,2.4,66,114.599999,1.736364,127.527059,이탈
K102180,54,36.10568,34,19.365775,0,0,8.95323,0,0.668624,0.569582,0,88,55.471455,0.630357,64.424685,이탈
